Case,L.rate,Nr-HL1,RMSE,MAE,MAPE
1.0,0.001,30.0,7.391275405883789,4.959555149078369,19.303672790527344
2.0,0.001,40.0,57.131675720214844,49.87185287475586,100.0
3.0,0.001,50.0,7.318243503570557,5.011003494262695,18.435302734375
4.0,0.001,60.0,7.334278583526611,4.9039835929870605,18.789173126220703
5.0,0.001,70.0,57.131675720214844,49.87185287475586,100.0
6.0,0.005,30.0,57.131675720214844,49.87185287475586,100.0
7.0,0.005,40.0,8.472905158996582,5.522350311279297,21.59659194946289
8.0,0.005,50.0,8.09162712097168,4.9413533210754395,19.419042587280273
9.0,0.005,60.0,57.131675720214844,49.87185287475586,100.0
10.0,0.005,70.0,57.131675720214844,49.87185287475586,100.0
11.0,0.01,30.0,57.131675720214844,49.87185287475586,100.0
12.0,0.01,40.0,57.131675720214844,49.87185287475586,100.0
13.0,0.01,50.0,57.131675720214844,49.87185287475586,100.0
14.0,0.01,60.0,57.131675720214844,49.87185287475586,100.0
15.0,0.01,70.0,57.131675720214844,49.87185287475586,100.0
