Case,L.rate,Nr-HL1,RMSE,MAE,MAPE
1.0,0.001,30.0,8.540876388549805,2.0900185108184814,1.0199002027511597
2.0,0.001,40.0,8.80507755279541,1.9300559759140015,0.951400637626648
3.0,0.001,50.0,6.895524024963379,1.7747198343276978,0.8590555787086487
4.0,0.001,60.0,7.189855098724365,1.742576003074646,0.8396955132484436
5.0,0.001,70.0,7.898420810699463,2.0091702938079834,1.003114104270935
6.0,0.005,30.0,10.28442096710205,3.384937047958374,1.6530859470367432
7.0,0.005,40.0,11.155844688415527,2.882199764251709,1.3907732963562012
8.0,0.005,50.0,11.175654411315918,2.8093810081481934,1.3252204656600952
9.0,0.005,60.0,10.591466903686523,2.9520318508148193,1.4486963748931885
10.0,0.005,70.0,234.11593627929688,228.42037963867188,100.0
11.0,0.01,30.0,12.121198654174805,3.9035067558288574,1.870018482208252
12.0,0.01,40.0,10.999021530151367,3.0497028827667236,1.4675331115722656
13.0,0.01,50.0,12.007889747619629,4.840732574462891,2.3138370513916016
14.0,0.01,60.0,11.96614933013916,3.35306453704834,1.587998867034912
15.0,0.01,70.0,12.690503120422363,4.19601583480835,2.1327831745147705
