0,1,2
15.602674,10.064295,57665172.0
0.42347577,0.3445309,2332200.2
0.40709448,0.33157176,2405542.2
0.38152963,0.31292897,2588127.8
0.35665825,0.29521564,2678802.5
0.3338698,0.2789939,2779002.2
0.32055783,0.26951128,2841816.8
0.3111242,0.2637812,2916130.0
0.3057373,0.2607594,2986755.5
0.3030385,0.25934932,2955043.8
0.3008308,0.25828627,3013716.0
0.30099618,0.25863743,3018064.5
0.30135158,0.25844035,2994937.2
0.30168107,0.25939202,2989275.2
0.30128226,0.25911087,3048824.5
0.30099487,0.25848812,2982771.2
0.30073878,0.2584229,3028322.5
0.30175188,0.25907585,2994359.0
0.29995775,0.25829455,3045021.2
0.29924512,0.25757185,3037673.0
0.3013366,0.25827822,3009670.8
0.3005867,0.25821733,3031355.8
0.29960752,0.25782925,3006154.2
0.29971817,0.25743416,3057519.8
0.29942685,0.2572844,3000511.8
0.29855683,0.2566307,3003098.5
0.29958257,0.2574026,2946606.2
0.2983641,0.25625813,3029825.8
0.2977943,0.2560168,3032710.2
0.29716408,0.2551199,2995622.0
0.29840648,0.25572535,3040383.2
0.29653826,0.25460806,2919064.0
0.29598898,0.25418672,2980037.0
0.29607254,0.25377557,2905721.2
0.29673874,0.2541527,2969902.2
0.29629123,0.25324276,2857447.5
0.29394335,0.25185826,2958760.0
0.29258162,0.25084195,2895985.2
0.2901891,0.248871,2918344.5
0.2910585,0.2494158,2864200.2
0.29305822,0.25001305,2870634.5
0.28729048,0.24608606,2816829.5
0.28750083,0.24570331,2875259.2
0.28645682,0.2449093,2763704.0
0.28663722,0.24374704,2799098.0
0.28446567,0.24270934,2755479.5
0.2794903,0.23851754,2698118.0
0.2761673,0.23505545,2721580.5
0.2725142,0.23155637,2617276.0
0.26730502,0.22633046,2536662.0
0.26679936,0.22303684,2366025.0
0.25802475,0.21461135,2275892.2
0.25746524,0.21182755,2094435.1
0.25552255,0.20915987,1948777.0
0.24492873,0.19933411,1926061.9
0.24114999,0.19522499,1740855.9
0.245142,0.1973047,1767162.9
0.23653862,0.18966202,1604321.1
0.23554116,0.18805392,1508340.5
0.23161475,0.18402043,1425819.0
0.22967517,0.18212608,1247025.8
0.22605163,0.17902493,1251805.1
0.23166122,0.18351012,1186500.4
0.2265379,0.17814936,1119867.8
0.22466537,0.17617947,1129561.5
0.22112116,0.17347583,1014817.56
0.2196243,0.17224017,931191.25
0.21913047,0.1709767,873494.94
0.21639445,0.1693339,799797.44
0.2177702,0.17026196,832207.3
0.21613683,0.16824247,778165.9
0.2157838,0.16828838,730359.75
0.21684718,0.16859844,730231.75
0.21407495,0.1660441,630216.8
0.21883829,0.17008038,715496.0
0.21093437,0.16370714,630473.4
0.20799057,0.16084807,579940.56
0.20658751,0.15944682,576911.06
0.20859101,0.16080548,527785.7
0.20968358,0.16168642,546374.06
0.2127917,0.16440885,535712.94
0.20863618,0.16083285,499528.53
0.21026534,0.16243641,558937.1
0.20829009,0.16048391,419172.28
0.20362261,0.15630221,436159.25
0.20586576,0.15832916,458775.97
0.20727968,0.15909307,415083.94
0.20484695,0.1571741,500931.88
0.20328332,0.15610234,433781.6
0.20524512,0.15731789,392117.66
0.20209225,0.15463124,404474.5
0.19885223,0.15202102,309438.94
0.20445631,0.15620609,360608.9
0.2003482,0.1527837,347307.9
0.19872187,0.15140024,321458.25
0.20490232,0.15661548,373246.56
0.19904064,0.15187083,325467.06
0.19901633,0.15138792,290880.06
0.20002742,0.15186284,326400.1
0.19802223,0.15055074,301177.56
0.19664346,0.14920537,290622.1
0.19330372,0.14674933,250662.83
0.19973302,0.15163636,319087.7
0.19540271,0.14813055,291881.72
0.19397971,0.14688437,265146.62
0.19561513,0.14816928,219606.44
0.19254379,0.14557992,289700.84
0.19595678,0.14855881,290571.9
0.19378376,0.1468775,224463.5
0.19491626,0.1474734,267385.72
0.19681418,0.14935116,301832.06
0.18964121,0.1431011,194654.14
0.19171153,0.14478983,274513.62
0.18983363,0.14309007,203138.0
0.18877703,0.14232616,212111.05
0.18900585,0.14218594,237403.36
0.19099528,0.14449744,278958.34
0.18876769,0.14227256,225226.7
0.18776295,0.14118232,236535.39
0.18481205,0.13875444,180306.17
0.18646528,0.1402372,211756.36
0.18680787,0.1405475,233110.38
0.18627381,0.14005862,230649.42
0.18491164,0.1389163,172630.12
0.18357958,0.13755317,174764.38
0.18298884,0.13712695,153849.8
0.18185318,0.1356725,147929.92
0.1789341,0.13329545,164470.8
0.18192038,0.13562937,172820.08
0.17831844,0.13257258,152750.38
0.18062754,0.1347802,168828.34
0.17874208,0.13301778,122208.48
0.1801403,0.13436359,167059.27
0.17797337,0.13260266,142879.05
0.17494623,0.12933537,168627.14
0.17459886,0.12906632,124027.65
0.17317706,0.12744805,138133.36
0.17310496,0.12767391,112973.18
0.17428789,0.128777,128681.914
0.17202285,0.12594135,115311.766
0.17137925,0.12607211,124527.94
0.17189875,0.12610194,129600.734
0.16679616,0.12104499,133129.78
0.16715981,0.121206544,129449.984
0.16331293,0.117210284,82915.0
0.16359125,0.11751414,86172.33
0.16589807,0.12004372,153373.97
0.1641492,0.11747969,101418.47
0.16636954,0.11984944,133305.88
0.16907607,0.12330376,204604.31
0.15839078,0.11122423,143842.48
0.16056621,0.113721736,119945.58
0.15904088,0.11234347,110537.87
0.16083674,0.11432446,189928.94
0.1564062,0.10936702,126256.38
0.15506133,0.10891984,301389.4
0.15000829,0.10462197,428554.38
