0,1,2
71.6293,55.03747,62.700718
21.197374,12.501244,17.06946
18.01107,9.153566,12.4534445
17.33479,8.097797,11.089186
17.085594,7.4729857,10.470979
17.143187,7.962059,11.008119
17.515846,8.582661,11.565364
17.815868,9.548867,12.782913
16.592361,6.5180902,9.215403
16.659489,7.091434,9.905722
16.488829,6.5804167,9.188868
16.432436,6.7321787,9.574999
16.713165,7.418638,10.184319
16.280464,6.366012,8.85469
16.223959,6.313548,9.154849
16.695795,7.68238,10.662872
16.707346,8.248099,11.16622
16.128912,6.7322564,9.448524
16.1327,6.2302046,8.757192
16.412582,7.3567495,10.189505
16.106712,6.969652,9.760989
15.964801,7.098997,9.80725
16.001734,6.386706,8.903555
15.957327,7.3485565,10.180449
15.509183,5.9700537,8.366712
15.972065,6.728631,9.472253
15.211205,5.6720123,8.058214
15.44625,5.5662313,8.04766
15.467307,5.3568707,7.826562
15.278986,5.8561606,8.400988
15.307257,6.453371,9.046899
15.203402,6.0971484,8.846183
14.743793,5.2475157,7.6796017
15.246729,6.296785,8.816385
14.851848,5.7828026,8.454923
14.87097,5.463818,8.119557
14.831713,6.40542,9.274789
14.867503,5.9732385,8.604543
14.8380165,5.5291643,8.171385
14.512908,4.9377055,7.278232
14.7825165,5.156036,7.637104
14.717356,5.4045544,8.003264
14.611452,5.6038294,8.192749
14.762945,5.258265,7.8079267
15.060629,6.464082,9.251047
14.6149645,5.0538645,7.435311
14.782281,6.0436535,8.794744
14.679793,5.083386,7.5261197
14.685821,5.842934,8.396656
14.927059,6.286616,9.0648985
14.289729,5.1038957,7.430993
14.224575,4.7759676,7.0179353
14.30738,4.6175694,6.948096
14.780814,5.8324723,8.406125
14.386593,5.0593767,7.3582916
14.832052,5.8204813,8.546485
14.419951,4.8983955,7.281259
14.158711,4.829231,7.0599146
14.835873,5.5437655,8.064183
14.879831,5.543579,7.9690046
14.392568,5.3388214,7.734959
14.244364,4.8506317,7.151687
14.150234,4.860649,7.1732802
14.340123,4.9173775,7.231857
14.735755,6.1095123,8.909205
14.402723,4.8424573,7.241957
14.124402,5.0576243,7.411377
14.328403,5.203304,7.6071362
14.298781,4.4821014,6.7041326
14.079182,4.936227,7.3641076
14.385841,5.33982,7.712029
14.22567,4.6945066,6.9928045
14.574037,5.397414,7.914152
14.214443,4.9024644,7.235078
14.018221,4.444172,6.664858
14.137742,4.762017,6.9338927
13.993442,4.7753267,7.023
14.039065,5.1237617,7.462839
14.230244,4.6107087,6.893802
14.274037,4.5812426,6.926648
14.019011,4.4734707,6.6428514
14.14068,4.772595,6.950081
13.901397,4.9393888,7.2204056
14.17747,5.034914,7.293811
14.2645855,4.3719735,6.593024
14.136012,4.6748266,6.8661304
13.858666,4.7349653,6.9797754
14.25207,5.2558374,7.4546385
14.083176,5.0351853,7.4120946
13.966953,4.856417,7.0601234
14.063038,4.9357657,7.1824093
13.987942,5.0316925,7.3250775
13.856382,4.300641,6.4872165
14.115488,4.770444,7.049381
13.658107,4.2530384,6.3007627
13.734534,4.612218,6.842148
14.4083,5.181424,7.5726876
14.099344,4.417276,6.5641456
14.111259,4.4621043,6.602849
13.675732,4.4563327,6.5672016
13.91075,4.8419256,7.1197767
13.96679,5.441484,7.8063006
14.090941,4.440032,6.676831
13.886967,4.625887,6.780318
13.705486,4.326303,6.332478
14.098211,4.686457,7.0207496
13.791736,4.994367,7.2720995
14.049709,4.6635356,6.7619925
14.045784,5.554199,7.9683065
13.711019,4.5426726,6.7268934
13.947146,4.8371334,6.9774785
